Node,Class,Child mortality (%),Expected Years of Schooling (years),Gross National Income Per Capita (2017 PPP$),Human Development Index (value),Life Expectancy at Birth (years),"Maternal Mortality Ratio (deaths per 100,000 live births)",Mean Years of Schooling (years),GDP,"Fertility rate, total (births per woman)","Mortality rate, adult, female (per 1,000 female adults)","Mortality rate, adult, male (per 1,000 male adults)","Mortality rate, infant (per 1,000 live births)"
LIE,0.0,,15.032,107019.833,0.926,82.806,,12.122,6474308718,1.4,,,
LTU,2.0,,16.67,29651.687,0.865,74.61,8.42,12.955,47758736932,1.7,85.048,245.418,4.0
AZE,1.0,,13.073,14398.448,0.751,71.451,29.378,10.476,40866627352,1.94,93.653,194.524,23.6
TCA,0.0,,,,,,,,1028941663,1.67,69.733,112.958,4.8
BGD,2.0,,10.427,4615.475,0.604,70.491,211.623,5.986,2.94E+11,2.114,112.617,176.354,31.4
OMN,2.0,,14.156,34167.928,0.824,77.687,15.072,9.697,80856697009,2.959,58.534,79.4,9.6
MMR,2.0,1.901,10.736,3585.874,0.557,65.561,242.861,4.734,66053040483,2.248,163.309,268.881,40.4
MUS,0.0,,14.784,20682.693,0.791,74.975,56.581,9.435,13713506131,1.36,80.78,177.845,12.9
NFK,0.0,,,,,,,,,,,,
SYC,0.0,,13.405,23976.593,0.797,73.698,4.708,11.005,1675370641,2.31,85.098,195.915,12.5
GRD,0.0,,16.777,12176.961,0.786,75.013,23.367,9.707,1125685185,2.126,97.064,167.442,13.3
GUY,2.0,,12.456,11167.454,0.686,68.201,128.336,7.985,4748174334,2.534,176.027,287.822,27.4
VCT,0.0,,15.091,12360.913,0.777,74.407,36.311,10.572,844040740.7,2.099,113.866,184.809,15.1
TTO,2.0,,13.438,29366.247,0.812,74.503,31.144,11.115,24040299978,1.682,107.592,190.831,17.2
BLR,1.0,,15.264,17569.76,0.809,73.987,1.314,11.762,54725302250,1.724,82.36,245.384,3.1
BDI,0.0,,11.153,781.624,0.42,60.217,514.031,2.285,2723586963,5.695,255.471,324.309,46.0
BLZ,0.0,8.374,12.873,9002.696,0.714,73.187,49.242,8.923,2266664817,2.438,109.72,208.195,13.5
BEN,2.0,,12.347,2826.696,0.509,59.377,590.863,2.625,12701655837,5.319,249.694,289.617,63.0
NGA,2.0,,9.309,5273.015,0.52,51.841,1113.403,6.646,3.76E+11,5.616,364.599,381.935,79.2
SLE,0.0,,8.782,1508.704,0.438,57.189,588.393,3.452,3719443418,4.548,258.226,288.18,95.3
TGO,2.0,,12.316,1928.141,0.51,59.396,440.806,4.453,6387422518,4.594,277.686,293.381,50.8
BFA,0.0,,8.038,1779.575,0.413,58.845,294.783,1.445,14106955615,5.478,235.259,301.792,59.4
BMU,0.0,,,,,,,,7142316000,1.4,45.402,104.001,
BIH,1.0,,13.625,12524.058,0.757,76.182,7.402,9.292,18326373366,1.289,59.726,109.237,5.5
LSO,0.0,,11.201,2959.839,0.508,51.101,728.385,6.691,2306741674,3.264,482.662,593.377,62.9
ZWE,2.0,,10.868,2040.15,0.544,59.591,408.119,8.389,17584890937,3.849,338.869,419.827,41.9
FRO,0.0,,,,,,,,2980057378,2.419,,,
SUR,0.0,,11.029,17701.383,0.707,70.8,124.596,8.184,3591679431,2.494,150.294,248.34,18.3
ETH,2.0,,8.859,1743.651,0.455,63.649,399.171,2.376,81770886826,4.531,197.241,275.376,43.6
MWI,2.0,,11.098,1406.828,0.498,61.378,444.936,5.293,8943543677,4.452,286.502,408.396,38.5
