,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
0,-0.31153,0.45913157,0.41352233,0.087091565,-0.1699032,-0.19331548,-0.51326746,0.2869928,0.050099555,-0.65499246,0.050386738,0.33364522,0.08458545,0.39447543,-0.15964746,-0.017238919,0.47356245,-0.06308524,-0.3787252,0.06508443,-0.10674036,-0.03519326,0.7017741,-0.095020294,0.014311764,0.19012354,-0.5393231,0.66446906,-0.13281631,-0.33684966,-0.5561624,0.6408325,0.008264087,0.13211243,-0.32374936,0.030140946,-0.15761773,0.11388032,-0.04625726,-0.84215677,0.3818389,0.13500597,-0.13713677,-0.81798166,0.018894011,-0.40547842,-0.049110588,0.41962135,-0.12678239,0.43354386,-0.04851407,0.030296555,-0.0049780374,-0.42485386,0.24554284,0.008003007,-0.3178698,-0.0575993,-0.45184028,0.3738041,-0.525287,-0.12129417,0.3967672,-0.04816458,0.4460301,-0.08610328,-0.0031948073,0.06747004,0.09502371,0.52984565,0.05192309,0.13727334,-0.47831804,0.5052856,-0.20535767
1,0.5721515,-0.28934088,-1.0475792,-0.8375268,0.8463908,0.29137868,0.020040357,-0.616919,0.2225371,0.4502669,-0.16674453,0.09464278,-0.22607398,0.3172023,-0.24378233,-0.45788518,0.58148,-0.3937812,0.17712815,-0.5891529,0.23098317,0.38655737,-0.15331815,0.25756553,0.38486874,-0.43475762,-0.29859284,-0.4678548,-0.3578273,0.02287641,-0.08223941,0.4898229,-0.08967733,-0.5789164,-0.69779897,0.7734404,0.8499974,-0.18991774,-0.421796,0.8859059,-0.2593018,0.7814172,0.914479,0.07729555,0.44091782,0.6677273,0.48611835,-0.23174247,0.34492975,0.38307858,0.40907702,-0.80669373,-0.8118127,-0.077869214,0.24149458,-0.31504416,-0.35351002,0.60695165,-0.08966395,-0.33263874,0.06625093,0.3177317,0.48788574,-0.2524337,-0.1643716,0.12965405,0.16479538,-0.2395176,-0.06023836,-0.2317418,-0.0917284,-0.42515123,-0.32486683,-1.0228068,0.23008117
2,0.7300211,-0.3956228,-1.0414962,-0.8748237,0.99597776,0.37583455,0.04502493,-0.59799695,0.6343504,0.5451223,0.101924606,-0.0949175,-0.085706465,0.28485486,-0.064849846,-0.6473682,0.5551685,-0.6825067,0.24920833,-0.7892776,0.27662694,0.38639686,-0.3514156,0.21698524,0.7081426,-0.38157678,-0.16692433,-0.43317494,-0.4630342,0.0052734693,0.14373057,0.40291995,0.014485213,-0.8350245,-0.6258798,0.44235063,0.9538524,-0.25027722,-0.6108411,0.95637524,-0.59542924,0.7345657,1.1900862,0.12918347,0.18623658,1.1506699,0.298678,-0.519127,0.38539803,0.21473105,0.52744603,-0.9939794,-0.90247196,-0.20516497,0.25117925,-0.2059984,0.11013602,0.9103948,-0.17711374,-0.1880755,0.24804649,0.2590851,0.60997784,-0.28745416,-0.39433452,0.27942052,0.16918595,-0.36606598,-0.17633788,-0.3515189,-0.024121463,-0.13433172,0.055100977,-1.1883006,0.62406135
3,-0.32700297,0.16051458,-0.063258946,0.27929476,-0.2414569,-0.2868398,-0.49626157,0.1913057,0.39456397,-0.093157925,0.52056307,-0.080381945,0.3012474,0.25915357,-0.14733124,-0.018182658,-0.02173479,-0.09184482,-0.3608979,0.042059325,-0.514536,-0.16266161,-0.16037475,0.068947084,0.34929392,0.04181572,0.16858613,0.6429926,-0.44418666,-0.17809659,-0.26051432,-0.07476429,-0.10640495,-0.54843146,0.118309975,-0.82171714,0.2477722,0.16723333,-0.12107956,-0.4068906,-0.01428128,-0.10509013,0.33513254,-0.010258644,-0.067818396,0.53165966,-0.197126,-0.20042346,0.355507,-0.15207933,-0.25023285,-0.30911657,0.1618511,0.06132606,0.12245951,0.26344204,0.8364802,0.8607387,-0.17282,0.42446512,0.011311781,-0.34345132,0.27432212,0.0063703614,-0.06993022,0.45456833,-0.073527254,-0.3510963,-0.3901007,-0.019419571,0.530198,0.46508104,0.2774436,-0.0062430124,0.04295847
4,0.8507708,-0.3688394,-1.1112543,-0.9578582,1.1475228,0.47701,0.105189726,-0.5393954,0.60696715,0.4361822,0.005544293,-0.05828548,-0.1310651,0.30508304,-0.03940071,-0.7799611,0.63563335,-0.6921661,0.24098594,-0.9196626,0.3739959,0.4524331,-0.36992285,0.20595652,0.67069614,-0.41764483,-0.3229352,-0.40552667,-0.5209106,0.015676565,0.03757724,0.5002919,0.0019224624,-0.855662,-0.6975597,0.70911455,0.9662964,-0.2646744,-0.65414375,0.96935236,-0.6442403,0.81012005,1.2454805,-0.02280273,0.21691963,1.1261985,0.3365263,-0.53864956,0.40034804,0.40600017,0.579926,-1.0866376,-1.0298332,-0.23442455,0.17293568,-0.22272086,-0.024504108,0.8850729,-0.22190805,-0.23238656,0.1578043,0.26393968,0.6849447,-0.2701519,-0.3600307,0.1521078,0.29104057,-0.19885956,-0.24982674,-0.29198596,-0.11269125,-0.13523135,-0.10000483,-1.3124028,0.7001183
5,0.6801641,-0.33356598,-0.9867184,-0.7021426,0.8509957,0.3429152,-0.02239527,-0.44809744,0.44967547,0.38706952,0.079040036,-0.06897229,-0.081591964,0.24316134,-0.021049121,-0.6249485,0.44016236,-0.5370707,0.1921591,-0.7238713,0.122602224,0.3141111,-0.38131678,0.17323938,0.5730738,-0.33918494,-0.17041431,-0.3354644,-0.44643375,0.045054108,-0.005628607,0.3510177,-0.038150396,-0.8257677,-0.5677625,0.44407064,0.8467833,-0.23458274,-0.4802069,0.8643134,-0.45448548,0.62337524,1.1188127,0.056837723,0.25874937,1.0153435,0.19068281,-0.46923393,0.40590367,0.24878782,0.40053055,-0.984939,-0.798596,-0.20883891,0.16757008,-0.1541025,0.11325438,0.87417734,-0.12426528,-0.2531632,0.22335295,0.18501231,0.62162805,-0.21029663,-0.36295074,0.22814198,0.17275028,-0.3157154,-0.3240233,-0.32438087,0.005700518,-0.09987679,-0.024038231,-1.1662499,0.58438355
6,0.35570192,-0.19038439,-0.7032735,-0.48347846,0.56867015,0.1559019,-0.17061345,-0.29021466,0.51743305,0.2069055,0.2134231,-0.10442634,0.09167682,0.21607734,-0.07370386,-0.4764722,0.36415783,-0.48235717,-0.010855548,-0.5170658,-0.03107365,0.18559407,-0.29536277,0.14383794,0.54458374,-0.25106922,-0.049588975,-0.04230139,-0.5180687,-0.032034796,-0.045841046,0.21234497,-0.04718807,-0.72356474,-0.33127716,-0.018829219,0.71028876,-0.17179893,-0.45295435,0.48155054,-0.4097232,0.4159655,0.9399267,0.017057976,0.0715915,0.9405802,0.08641857,-0.4795372,0.4059412,0.12290478,0.18301366,-0.8080292,-0.534939,-0.12786041,0.14460957,-0.046469193,0.3635048,0.8680421,-0.15675841,0.023909139,0.13525885,0.050333433,0.52457476,-0.15573984,-0.21804857,0.29411468,0.10143008,-0.31731004,-0.34931803,-0.18009277,0.14788558,0.11599487,0.11200288,-0.810613,0.45394006
7,0.7333693,-0.30491862,-1.1193656,-0.8674087,0.96766716,0.35061902,-0.048305403,-0.61607605,0.29015803,0.40624833,-0.15333754,0.1163372,-0.19862427,0.27790233,-0.15151764,-0.6295638,0.6673856,-0.52118057,0.20208248,-0.8000093,0.3273902,0.44768736,-0.14967218,0.16194455,0.49367905,-0.4585903,-0.4157052,-0.46475396,-0.3789882,0.03937502,-0.057781924,0.6640837,-0.06024137,-0.6531524,-0.78766525,0.87895566,0.8559552,-0.2035772,-0.45199844,0.9703703,-0.29638624,0.8340223,1.0765779,-0.06960566,0.44722125,0.78684044,0.47065452,-0.2183846,0.32937482,0.45485002,0.48522615,-1.0077325,-0.95678866,-0.26033518,0.23031358,-0.31060973,-0.37411052,0.69322777,-0.20103952,-0.31660202,0.039946493,0.37680152,0.6975099,-0.260121,-0.26145858,0.11603968,0.21267849,-0.23723535,-0.0871292,-0.26365063,-0.18444994,-0.34736237,-0.33524638,-1.2171904,0.38985834
8,-0.08101001,0.066797554,0.031314578,-0.08093548,-0.19024256,-0.0063517424,0.052821893,0.21548456,0.03886547,-0.07399856,0.092636965,0.20891239,-0.07858978,0.33318812,-0.14009452,0.3443426,-0.109410346,0.072146095,-0.051012084,0.220149,-0.15715188,-0.06383338,0.1970911,0.21772426,-0.04904951,0.077618755,-0.06647576,0.2145345,-0.12984335,-0.22846317,-0.22836237,-0.060400996,-0.100345224,-0.15982948,0.1021082,-0.0046268892,0.024521764,0.26658604,-0.047257494,-0.39671838,0.029628126,0.07220875,-0.08272644,-0.15960851,0.15248425,-0.39144087,0.13801433,0.105042726,-0.017713943,0.1942349,0.14959711,0.22061872,-0.056949615,-0.0033970026,0.2058481,0.04582269,0.05176852,-0.017937854,-0.03977245,-0.13797319,0.1426139,-0.34438252,-0.1596308,-0.04327267,0.11299263,0.16178496,0.035189494,0.037403286,-0.19659023,0.26834458,0.12763463,-0.03271369,-0.1859287,0.12555702,-0.35300955
9,0.5359562,-0.23801792,-0.94845045,-0.65453213,0.852156,0.26453176,-0.0770188,-0.50568175,0.29832807,0.3383999,-0.0081054745,0.025194995,-0.11230294,0.28792438,-0.15648772,-0.54125494,0.59534425,-0.38650542,0.11488543,-0.66383153,0.21973804,0.3045082,-0.24144632,0.14933628,0.40409583,-0.40740773,-0.3495849,-0.28079757,-0.38593662,0.027067183,-0.075660095,0.53355604,-0.07793915,-0.5700043,-0.5789937,0.6831097,0.8012631,-0.14398669,-0.38323817,0.7551449,-0.29982105,0.6244066,0.8902439,-0.014049403,0.3467097,0.77144426,0.38574424,-0.29022545,0.36369604,0.36442482,0.30107513,-0.90307784,-0.75747937,-0.10809915,0.12186004,-0.24949275,-0.1319649,0.68702704,-0.11494025,-0.19612187,0.014524081,0.2660918,0.5837663,-0.15074886,-0.2350683,0.085892096,0.21889536,-0.2175321,-0.15225004,-0.2803663,-0.051862285,-0.1977012,-0.31578097,-1.0155778,0.32421294
